"No","X1transactiondate","X2houseage","X3distancetothenearestMRTstation","X4numberofconveniencestores","X5latitude","X6longitude"
"371","2012.75","15.9","289.3248","5","24.98203","121.54348"
"372","2013.5","4.1","312.8963","5","24.95591","121.53956"
"373","2013","33.9","157.6052","7","24.96628","121.54196"
"374","2013.083","0","274.0144","1","24.9748","121.53059"
"375","2013.25","5.4","390.5684","5","24.97937","121.54245"
"376","2013.25","21.7","1157.988","0","24.96165","121.55011"
"377","2013.417","14.7","1717.193","2","24.96447","121.51649"
"378","2013.333","3.9","49.66105","8","24.95836","121.53756"
"379","2013.333","37.3","587.8877","8","24.97077","121.54634"
"380","2013.333","0","292.9978","6","24.97744","121.54458"
"381","2013.333","14.1","289.3248","5","24.98203","121.54348"
"382","2013.417","8","132.5469","9","24.98298","121.53981"
"383","2013","16.3","3529.564","0","24.93207","121.51597"
"384","2012.667","29.1","506.1144","4","24.97845","121.53889"
"385","2012.75","16.1","4066.587","0","24.94297","121.50342"
"386","2013","18.3","82.88643","10","24.983","121.54026"
"387","2012.833","0","185.4296","0","24.9711","121.5317"
"388","2013.25","16.2","2103.555","3","24.96042","121.51462"
"389","2013.5","10.4","2251.938","4","24.95957","121.51353"
"390","2013.25","40.9","122.3619","8","24.96756","121.5423"
"391","2013.5","32.8","377.8302","9","24.97151","121.5435"
"392","2013.583","6.2","1939.749","1","24.95155","121.55387"
"393","2013.083","42.7","443.802","6","24.97927","121.53874"
"394","2013","16.9","967.4","4","24.98872","121.53408"
"395","2013.5","32.6","4136.271","1","24.95544","121.4963"
"396","2012.917","21.2","512.5487","4","24.974","121.53842"
"397","2012.667","37.1","918.6357","1","24.97198","121.55063"
"398","2013.417","13.1","1164.838","4","24.99156","121.53406"
"399","2013.417","14.7","1717.193","2","24.96447","121.51649"
"400","2012.917","12.7","170.1289","1","24.97371","121.52984"
"401","2013.25","26.8","482.7581","5","24.97433","121.53863"
"402","2013.083","7.6","2175.03","3","24.96305","121.51254"
"403","2012.833","12.7","187.4823","1","24.97388","121.52981"
"404","2012.667","30.9","161.942","9","24.98353","121.53966"
"405","2013.333","16.4","289.3248","5","24.98203","121.54348"
"406","2012.667","23","130.9945","6","24.95663","121.53765"
"407","2013.167","1.9","372.1386","7","24.97293","121.54026"
"408","2013","5.2","2408.993","0","24.95505","121.55964"
"409","2013.417","18.5","2175.744","3","24.9633","121.51243"
"410","2013","13.7","4082.015","0","24.94155","121.50381"
"411","2012.667","5.6","90.45606","9","24.97433","121.5431"
"412","2013.25","18.8","390.9696","7","24.97923","121.53986"
"413","2013","8.1","104.8101","5","24.96674","121.54067"
"414","2013.5","6.5","90.45606","9","24.97433","121.5431"
